DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 A11_14.wav	 2.867	 0.000	 0	 16000	0.0000
 A11_140.wav	 3.017	 0.000	 0	 16000	0.0000
 A11_141.wav	 3.142	 0.000	 0	 16000	0.0000
 A11_142.wav	 3.062	 0.000	 0	 16000	0.0000
 A11_143.wav	 3.045	 0.000	 0	 16000	0.0000
 A11_144.wav	 3.111	 0.000	 0	 16000	0.0000
 A11_145.wav	 3.025	 0.000	 0	 16000	0.0000
 A11_146.wav	 3.130	 0.000	 0	 16000	0.0000
 A11_0.wav	 3.108	 0.000	 0	 16000	0.0000
 A11_0_K.wav	 2.451	 0.000	 0	 16000	0.0000
 A11_0_84.wav	 3.492	 0.000	 0	 16000	0.0000
 A11_0_85.wav	 3.523	 0.000	 0	 16000	0.0000
 A11_1.wav	 2.983	 0.000	 0	 16000	0.0000
 A11_1_K.wav	 2.343	 0.000	 0	 16000	0.0000
 A11_1_84.wav	 3.298	 0.000	 0	 16000	0.0000
 A11_1_85.wav	 3.268	 0.000	 0	 16000	0.0000
 A11_10.wav	 3.003	 0.000	 0	 16000	0.0000
 A11_10_K.wav	 2.854	 0.000	 0	 16000	0.0000
 A11_10_84.wav	 3.337	 0.000	 0	 16000	0.0000
 A11_10_85.wav	 3.398	 0.000	 0	 16000	0.0000
 A11_100.wav	 3.063	 0.000	 0	 16000	0.0000
 A11_100_K.wav	 2.242	 0.000	 0	 16000	0.0000
 A11_100_84.wav	 3.355	 0.000	 0	 16000	0.0000
 A11_100_85.wav	 3.413	 0.000	 0	 16000	0.0000
 A11_102.wav	 2.944	 0.000	 0	 16000	0.0000
 A11_102_K.wav	 2.437	 0.000	 0	 16000	0.0000
 A11_102_84.wav	 3.388	 0.000	 0	 16000	0.0000
 A11_102_85.wav	 3.462	 0.000	 0	 16000	0.0000
 A11_103.wav	 3.120	 0.000	 0	 16000	0.0000
 A11_103_K.wav	 2.322	 0.000	 0	 16000	0.0000
 A11_103_84.wav	 3.506	 0.000	 0	 16000	0.0000
 A11_103_85.wav	 3.519	 0.000	 0	 16000	0.0000
 A11_104.wav	 3.058	 0.000	 0	 16000	0.0000
 A11_104_K.wav	 2.218	 0.000	 0	 16000	0.0000
 A11_104_84.wav	 3.280	 0.000	 0	 16000	0.0000
 A11_104_85.wav	 3.324	 0.000	 0	 16000	0.0000
 A11_105.wav	 3.072	 0.000	 0	 16000	0.0000
 A11_105_K.wav	 2.575	 0.000	 0	 16000	0.0000
 A11_105_84.wav	 3.349	 0.000	 0	 16000	0.0000
 A11_105_85.wav	 3.459	 0.000	 0	 16000	0.0000
 A11_106.wav	 3.096	 0.000	 0	 16000	0.0000
 A11_106_K.wav	 2.332	 0.000	 0	 16000	0.0000
 A11_106_84.wav	 3.529	 0.000	 0	 16000	0.0000
 A11_106_85.wav	 3.601	 0.000	 0	 16000	0.0000
 A11_107.wav	 2.984	 0.000	 0	 16000	0.0000
 A11_107_K.wav	 2.191	 0.000	 0	 16000	0.0000
