REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 D:\Github\Denoise\AutoTesting\Speech/A11_126.wav	 ./Speech_Noise/20/A11_126.wav	 SQValue=3.132	 3.132	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_127.wav	 ./Speech_Noise/20/A11_127.wav	 SQValue=3.105	 3.105	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_128.wav	 ./Speech_Noise/20/A11_128.wav	 SQValue=3.065	 3.065	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_129.wav	 ./Speech_Noise/20/A11_129.wav	 SQValue=3.061	 3.061	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_13.wav	 ./Speech_Noise/20/A11_13.wav	 SQValue=3.021	 3.021	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_130.wav	 ./Speech_Noise/20/A11_130.wav	 SQValue=2.958	 2.958	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_131.wav	 ./Speech_Noise/20/A11_131.wav	 SQValue=3.108	 3.108	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_133.wav	 ./Speech_Noise/20/A11_133.wav	 SQValue=3.146	 3.146	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_134.wav	 ./Speech_Noise/20/A11_134.wav	 SQValue=3.150	 3.150	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_135.wav	 ./Speech_Noise/20/A11_135.wav	 SQValue=3.146	 3.146	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_136.wav	 ./Speech_Noise/20/A11_136.wav	 SQValue=3.088	 3.088	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_137.wav	 ./Speech_Noise/20/A11_137.wav	 SQValue=3.117	 3.117	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_138.wav	 ./Speech_Noise/20/A11_138.wav	 SQValue=3.286	 3.286	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_139.wav	 ./Speech_Noise/20/A11_139.wav	 SQValue=3.092	 3.092	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_14.wav	 ./Speech_Noise/20/A11_14.wav	 SQValue=2.867	 2.867	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_140.wav	 ./Speech_Noise/20/A11_140.wav	 SQValue=3.017	 3.017	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_141.wav	 ./Speech_Noise/20/A11_141.wav	 SQValue=3.142	 3.142	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_142.wav	 ./Speech_Noise/20/A11_142.wav	 SQValue=3.062	 3.062	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_143.wav	 ./Speech_Noise/20/A11_143.wav	 SQValue=3.045	 3.045	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_144.wav	 ./Speech_Noise/20/A11_144.wav	 SQValue=3.111	 3.111	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_145.wav	 ./Speech_Noise/20/A11_145.wav	 SQValue=3.025	 3.025	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_146.wav	 ./Speech_Noise/20/A11_146.wav	 SQValue=3.130	 3.130	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_0.wav	 ./Speech_Noise/20/A11_0.wav	 SQValue=3.108	 3.108	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_1.wav	 ./Speech_Noise/20/A11_1.wav	 SQValue=2.983	 2.983	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_10.wav	 ./Speech_Noise/20/A11_10.wav	 SQValue=3.003	 3.003	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_100.wav	 ./Speech_Noise/20/A11_100.wav	 SQValue=3.063	 3.063	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_102.wav	 ./Speech_Noise/20/A11_102.wav	 SQValue=2.944	 2.944	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_103.wav	 ./Speech_Noise/20/A11_103.wav	 SQValue=3.120	 3.120	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_104.wav	 ./Speech_Noise/20/A11_104.wav	 SQValue=3.058	 3.058	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_105.wav	 ./Speech_Noise/20/A11_105.wav	 SQValue=3.072	 3.072	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_106.wav	 ./Speech_Noise/20/A11_106.wav	 SQValue=3.096	 3.096	 0.000	 0	 16000	0.0000
 D:\Github\Denoise\AutoTesting\Speech/A11_107.wav	 ./Speech_Noise/20/A11_107.wav	 SQValue=2.984	 2.984	 0.000	 0	 16000	0.0000
